name,category,expertise,address/state,address/street/0,address/neighborhood,address/city,address/phone,description,operation,price_avg,payment_methods/credit_card/0,payment_methods/credit_card/1,payment_methods/credit_card/2,payment_methods/credit_card/3,payment_methods/debit_card/0,payment_methods/debit_card/1,payment_methods/debit_card/2,services/0,services/1,services/2,location/lat,location/lng,payment_methods/credit_card/4,services/3,services/4,services/5,rating,vote_count
Tay San,Restaurantes,Chineses,PE,"Rua Francisco da Cunha, 47",Boa Viagem,Recife,(81) 3466-4488,"O rolinho com charque e catupiry (R$ 6,60) engana a fome antes da chegada do macarrão frito especial, com carne bovina, frango, camarão, chuchu, cenoura, acelga e pimentão (R$ 48,00, para duas pessoas). Quem opta pelo rodízio japonês, disponível de segunda a sexta no jantar, paga R$ 41,90 para ter acesso ao bufê de sushis e frituras - o preço também dá direito a dois temakis, cinco sashimis, um sunomono e cinco sushis especiais. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/15h e 18h/23h (dom. sem intervalo até 22h30),31,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.1139687,-34.8980067,Visa,Estacionamento,Lugares/Capacidade (total 240),Valet/Manobrista,3.57,81
Brasiliano,Restaurantes,Regional,PE,"Rua Álvares Cabral, 155 - 1º andar",Recife Antigo,Recife,3224-2020,"Às segundas-feiras, a bancada alinha receitas regionais, entre elas o arrumadinho de carne de sol e escondidinho de charque. Nas quintas, prevalecem pratos italianos, como a lasanha montada com massa artesanal nas versões quatro queijos e bolonhesa. O bufê custa R$ 39,90 o quilo em qualquer dia. Entre as quatro opções de sobremesa (R$ 12,50 cada uma) figura o brownie de chocolate belga acompanhado de sorvete de creme e calda de chocolate. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/14h30 (fecha sáb. e dom.),39,Mastercard,Visa,,,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Lugares/Capacidade (total 180),-8.063033,-34.872856,,Vinho em taça,,,4,169
Picanha na Chapa,Restaurantes,Carnes,PE,"Rua Engenheiro Antônio Jucá, 174",Piedade,Jaboatão dos Guararapes,3342-8034,"O frango à passarinho (R$ 27,90) e a carne de sol (R$ 28,90) vão bem entre goles da cerveja Skol (R$ 7,99). Especialidade que dá nome à casa, a picanha também sai na versão suína, acompanhada de feijão, arroz, macaxeira cozida e vinagrete (R$ 45,90). O prato é suficiente para três pessoas, assim como o frango à parmigiana, escoltado por espaguete e purê de batata (R$ 38,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/23h (sex. e sáb. até 0h),58,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Atividades para crianças,-8.1665376,-34.9177457,Visa,Estacionamento,Lugares/Capacidade (total 400 lugares),,4.99,88
Nez Bistrô,Restaurantes,Variados,PE,"Praça de Casa Forte, 314",Casa Forte,Recife,(81) 3441-7873 e 3034-7873,"Da cozinha de influência franco-italiana, saem pratos como o raviolone de queijo de cabra ao molho de tomate (R$ 49,00) e a codorna à ana paes, que traz a ave recheada com farofa de ameixa ao molho de vinho do Porto (R$ 89,00). A adega com 110 rótulos guarda, entre outros, o tinto português Papa Figos (R$ 110,00). Para a sobremesa, a mille fille mescla massa folhada com caramelo toffee e sorvete de doce de leite (R$ 29,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",18h30/0h (sex. também almoço 12h/16h e jantar 18h/1h; sáb. 18h/1h; dom. só almoço 12h/16h),40,Dinners,Mastercard,Visa,,Rede Shop,Visa Electron,,Acesso wireless,Ar condicionado,Estacionamento,-8.0331243,-34.9211426,,Levar vinhos (permite),Lugares/Capacidade (total 80),Vinho em taça,2.89,37
Plim,Restaurantes,Variados,PE,"Rua Padre Carapuceiro, 777 - Shopping Recife",Boa Viagem,Recife,(81) 3465-0255,"Há 35 anos, a casa atrai a clientela com um extenso cardápio. Pizzas como a de camarão, brie e mel (R$ 66,80) concorrem com pedidos à la carte. A panelinha picante de tomate e pimenta calabresa gratinada com mussarela, servida com torradas (R$ 22,00), abre alas para o filé ao poivre, ladeado por talharim na manteiga (R$ 38,80). A taça do vinho gaúcho Arbo Cabernet Sauvignon custa R$ 9,90. No arremate, tem petit gatêau a R$ 19,90. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",9h/22h (dom. 12h/21h),78,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Delivery,Acesso para deficientes,Acesso wireless,-8.118712,-34.9062761,Visa,Ar condicionado,Estacionamento,Lugares/Capacidade (total 144),1.83,179
Bar da Fava,Restaurantes,Cozinha regional,PE,"Rua Padre Oliveira Rolim, 37",Pina,Recife,(81) 3463-8998,"O ingrediente que dá nome ao bar acompanha carne de sol na brasa com farofa de ovos, arroz, charque, manteiga de garrafa e macaxeira frita (R$ 69,90, para três pessoas) - a versão com carne de cordeiro sai a R$ 78,90. Como aperitivo, a cachaça Serra Limpa (R$ 6,50 a dose) escolta a porção de linguiça guanabara (R$ 18,50). No desfecho, o brigadeiro de panela vai à mesa em recipiente de alumínio, polvilhado com farofa de farinha láctea (R$ 7,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/23h (seg. e ter. até 18h),73,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Atividades para crianças,-8.0884852,-34.8972397,,Estacionamento,Lugares/Capacidade (total 120),Vinho em taça,1.42,266
Famintos,Restaurantes,Variados/bufê,PE,"Rua Sant'Ana, 12",Casa Forte,Recife,(81) 3268-6364,"Com 25 anos completados em abril de 2015, a casa se destaca pelo cardápio regional. A feijoada completa, com carne de porco, linguiça, farofa e vinagrete, entra no bufê às sextas, sábados e domingos. O escondidinho de batata doce com pernil de cordeiro e o ensopado de frutos do mar integram a lista de trinta pratos quentes servidos por R$ 49,90 o quilo. Na ala de doces, pelo mesmo preço, há quinze sugestões diárias, dentre as quais o pudim e o brigadeirão de chocolate. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/15h30 (sáb. e dom. até 16h),62,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Estacionamento,-8.0123806,-34.9093279,Visa,Lugares/Capacidade (total 150),,,4.28,104
Nabuco,Restaurantes,Variados,PE,"Avenida Boa Viagem, 1906 - Hotel Beach Class Suites",Boa Viagem,Recife,2121-2618,"Fica à beira-mar, dentro do hotel Beach Class Suítes. Enquanto aguarda pelo companhia das índias, medalhões de filé-mignon com risoto e manteiga de ervas (R$ 55,00), o cliente distrai a fome com a salada verão, mix de folhas com frango ao molho de alcaparra (R$ 25,00). Para os vegetarianos, a escolha recai sobre o linguine ao nabuco, massa de espinafre com tomate-cereja e molho de tomate, quatro queijos ou alcaparra (R$ 31,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",6h/10h; 12h/15h e 18h/23h,54,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.1074106,-34.8905608,Visa,Estacionamento,Levar vinhos (permite),Lugares/Capacidade (total 120),2.55,68
Villa Brazil,Restaurantes,Variados,PE,"Rua Beijupirá, s/nº - Galeria Angatu",Porto de Galinhas,Ipojuca,3552-2261,"A salada goiânia, de camarões ao molho de mostarda, alface, cenoura, repolho, batata palha, é servida no abacaxi (R$ 33,90, para dois). Depois entra em cena o filé porto velho (R$ 38,90), nome dado aos medalhões de filé-mignon ao molho madeira, com cogumelo-de-paris, acompanhado de arroz de castanha e batata sauté. Em jarra de 600 mililitros, o suco de umbu-cajá custa R$ 15,90. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/22h30,73,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Levar vinhos (permite),Lugares/Capacidade (total 80),-8.505052,-35.002753,Visa,,,,2.84,55
Carcará,Restaurantes,Cozinha regional,PE,"Rua Ribeiro de Brito, 1084",Boa Viagem,Recife,(81) 3327-0176,"Especialidade da casa, a costela no bafo (R$ 64,90, para quatro pessoas) passa doze horas no vapor. Como guarnições, recebe feijão-tropeiro, arroz, farofa de ovos e macaxeira frita. Também requisitado, o baião de dois (R$ 54,90) mistura feijão-macáçar, arroz, calabresa, charque e carne de sol refogados na manteiga de garrafa. À noite, caldos e sopas à base de carne, peixe ou frango custam R$ 14,90 (para duas pessoas). Hit entre as sobremesas, o bolo de rolo à romeu e julieta (R$ 9,90) é ladeado por queijo manteiga na brasa e calda de morango ou chocolate. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/0h,32,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.1228161,-34.9088429,,Estacionamento,Lugares/Capacidade (total 280),Vinho em taça,4.9,100
La Cuisine Bistrô,Restaurantes,Variados,PE,"Avenida Boa Viagem, 560",Pina,Recife,(81) 3327-4073,"Depois de se acomodar em um dos três ambientes, o cliente começa a refeição com rolinho de presunto cru e queijo Grana Padano maçaricado ao molho agridoce (R$ 32,50). Depois entra em cena o risoto de camarão com brie e mandioquinha (R$ 59,90). Para acompanhar o tinto chileno Cousiño Macul Reserva Carménère (R$ 76,90), a escolha recai sobre o filé-mignon de carne de sol com purê de batata-doce, alho-poró e charque (R$ 32,50). Para finalizar, tem bricelet com sorvete de creme e calda de chocolate (R$ 17,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/23h (qui. até 0h; sex. até 1h; sáb. 13h/1h),58,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Levar vinhos (permite),-8.0966788,-34.8833857,Visa,Lugares/Capacidade (total 140 lugares),Valet/Manobrista,Vinho em taça,1.68,114
O Vegetariano,Restaurantes,Naturais,PE,"Rua Conde D'Eu, 118",Boa Vista,Recife,(81) 3423-3638,"O bufê 100% vegano alinha pratos como a carne de jaca, disponível em três versões: com molho madeira, ao shoyu e desfiada. Panqueca recheada de ""carne"" de caju, suflê de berinjela, torta de abobrinha, almôndega de quinoa e arroz integral de brócolis também passam pela balança (R$ 38,90 o quilo). Sobremesas como bolo de rolo e brownie são produzidos sem lactose nem glúten. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/14h (sáb. até 14h30; fecha dom.),77,American Express,Mastercard,Visa,,Maestro,Visa Electron,,Acesso para deficientes,Estacionamento,Lugares/Capacidade (total 200),-8.0524561,-34.8911095,,,,,1.45,39
La Douane Bistrot,Restaurantes,Contemporânea Francesa,PE,"Rua da Alfândega, 35 - Shopping Paço Alfândega",Bairro do Recife,Recife,(81) 3224-5799,"Localizado no histórico Bairro do Recife, o salão tem vista para o rio Capibaribe. Do cardápio renovado de influência mediterrânea faz parte a truta ao molho de tomate seco, alho-poró e alcaparra, servida com cuscuz marroquino e miniratatouille de legumes e frutas secas (R$ 52,00). O risoto cecília, de cogumelos, acompanha coxa e sobrecoxa de pato confitadas (R$ 57,00). Na adega repousam vinhos como o tinto italiano Il Passo Nerello (R$ 78,00). Encerra a refeição o creme brûlé de banana-da-terra (R$ 18,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",10h/22h (sáb. a partir 12h; dom. 12h/17h),50,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0648056,-34.8760217,Visa,Estacionamento,Levar vinhos (permite),Lugares/Capacidade (total 150),2.02,78
Siwichi Cebicheria Peruana,Restaurantes,Peruano,PE,"Rua do Cupim, 53",Graças,Recife,3204-9921,"A peruana Roxana Bresani comanda a cozinha, onde prepara dezesseis tipos de ceviche, entre eles o nikkei de atum, que mistura o peixe com shimeji, cebola caramelizada, gengibre, shoyu, cebolinha e gergelim (R$ 37,50). O chicharrón de maritos traz lula, peixe branco e camarão fritos, com textura que lembra torresmo - servido com macaxeira frita e molho de tomate, cebola e azeite, sai por R$ 48,60. O vinho verde português Quinta Aveleda (R$ 64,00) é um dos rótulos da carta. No final, os churros vão à mesa com doce de leite, ganache e musse de graviola (R$ 20,00, sete unidades). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",19h/23h (qui. a sáb. até 0h; dom. 12h30/16h),50,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0474552,-34.9003021,Visa,Levar vinhos (permite),Lugares/Capacidade (total 90),Valet/Manobrista,2.14,239
Tio Pepe,Restaurantes,Cozinha regional,PE,"Rua Almirante Tamandaré, 170",Boa Viagem,Recife,(81) 3341-7153,"No casarão arborizado, a refeição começa com o salgado de caranguejo em massa de macaxeira (R$ 28,80, oito unidades). Na sequência, dá para três pessoas a carne de sol na chapa, guarnecida de feijão-verde, arroz, farofa de jerimum e macaxeira frita ou cozida (R$ 79,90). A pescada-amarela ao molho de camarão, com arroz e purê de batata (R$ 63,30, para duas pessoas), pede a escolta da caipirosca de frutas vermelhas (R$ 9,80). Fecha o pedido o doce de leite bêbado, com vinho do Porto e claras em neve (R$ 13,80). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/23h30 (dom. até 16h; fecha seg.),21,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Atividades para crianças,-8.134122,-34.910559,Visa,Estacionamento,Levar vinhos (permite),Lugares/Capacidade (total 280),2.6,134
Udon Cozinha Oriental,Restaurantes,Japonesa,PE,"Rua Raimundo Freixeira, 175",Casa Amarela,Recife,3049-3449,"Sushis, sashimis e temakis tradicionais integram o rodízio, a R$ 38,90 por pessoa. À la carte, o temaki de salmão maçaricado com cream cheese e camarão empanado (R$ 14,90) disputa a preferência com o tempurá de legumes (R$ 13,90). A goiabada com cream cheese e morango (R$ 13,90, seis unidades) põe o ponto final na refeição. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.","18h30/23h (sex. até 23h30; sáb., também almoço 12h/15h e jantar até 23h30; dom., também almoço 12h/15h)",59,American Express,Dinners,Hipercard,Mastercard,Maestro,Visa Electron,,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0288716,-34.9216318,Visa,Estacionamento,Lugares/Capacidade (total 50),,4.28,110
Dom Rafael,Restaurantes,Italiano,PE,"Rua Frei Pio Moreira, 492",Piedade,Jaboatão dos Guararapes,3361-0002,"Entre os pratos em porções para duas pessoas, um dos mais requisitados é o camarão na manteiga de ervas com linguine verde ao molho de tomate e manjericão (R$ 69,90). Harmoniza com o vinho chileno Rayun Reservado Cabernet Sauvignon (R$ 15,90) o filé ricardo pancada, gratinado com parmesão e acompanhado de linguine ao molho de cogumelos-de-paris (R$ 65,90). A bruschetta de tomate, manjericão e ricota temperada (R$ 23,90) abre a refeição, que termina com petit gâteau (R$ 15,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/15h e 18h/0h (seg. só almoço; sáb. e dom. sem intervalo),29,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Atividades para crianças,-8.1686847,-34.9172077,,Estacionamento,Lugares/Capacidade (total 90),Vinho em taça,1.7,38
Château Brillant,Restaurantes,Franceses,PE,"Rua Estêvão de Sá, 247",Várzea,Recife,(81) 99814-0966 e 98660-1750,"De origem alemã, Meiga von Liebig nasceu em Olinda e formou-se chef na Bélgica. A casa funciona apenas com reserva, que deve ser feita com dois dias de antecedência. Há dois tipos de menu: três pratos (R$ 150,00) ou sete (R$ 190,00). Conforme o dia, a sequência pode ser casquinha de siri gratinada, confit de pato com batatas salteadas e trio de tartelettes de limão, frutas vermelhas e castanha-do-pará. A carta lista vinhos como o francês François Labet Pinot Noir (R$ 100,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",19h/2h,32,,,,,,,,Acesso wireless,Ar condicionado,Levar vinhos (permite),8.0387192,-34.9480138,,Lugares/Capacidade (total 20),Vinho em taça,,1.18,158
Pra Vocês,Restaurantes,Peixes e frutos do mar,PE,"Avenida Herculano Bandeira, 115",Pina,Recife,(81) 3325-3168,"Ditos populares, piadas e nomes de clientes ilustres decoram o salão. A casquinha de caranguejo (R$ 6,00) é a mais pedida para abrir o apetite. Para três pessoas, a peixada (R$ 82,00) acompanha pirão, arroz e verduras. Já a a salada de lagosta (R$ 82,00) tem a medida para dois comensais. A adega armazena vinhos como o tinto português Periquita (R$ 46,00). Para arrematar, tem doce de jaca (R$ 6,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/0h,39,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Estacionamento,Levar vinhos (permite),-8.0912397,-34.8851561,Visa,Lugares/Capacidade (total 160),Vinho em taça,,4,58
Capitania Forneria & Mar,Restaurantes,Peixes e frutos do mar,PE,"Rua Doutor Eduardo de Moraes, 25",Bairro Novo,Olinda,3429-8970,"No salão refrescado pela brisa marinha, os garçons circulam com pratos que dão para duas pessoas. A moqueca de camarão com pirão e arroz (R$ 66,00) concorre com o lombo de bacalhau frito no azeite, gratinado com molho branco e queijos provolone, mussarela e parmesão, guarnecido de batatas recheadas com purê de gorgozola e arroz (R$ 49,00). A salada pintombeiras (R$ 39,00) mescla folhas, frutos do mar, pimentões e cebola. Na sobremesa, a escolha recai sobre o bolo de noiva com sorvete de queijo do reino (R$ 16,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/0h (sex. e sáb. até 1h; dom. até 22h; fecha seg.),46,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Levar vinhos (permite),-7.9954387,-34.8408126,Visa,Lugares/Capacidade (total 120),Vinho em taça,,4.73,107
Na Praça,Restaurantes,Variados,PE,"Praça de Casa Forte, 611",Casa Forte,Recife,3204-9421,"Além da varanda com vista para a praça de Casa Forte, a casa tem salão climatizado onde acontecem apresentações de pop rock de quinta a sábado (couvert artístico a R$ 9,90). A porção de charuto de carne de sol com queijo de coalho, servida com purê de jerimum (R$ 34,90), vai bem com a cerveja Heineken (R$ 11,90). Entre os pratos mais requisitados estão o filé de salmão com canela, acompanhado de arroz de castanha e purê de batata-doce (R$ 36,90), e o cordeiro grelhado com arroz, feijão-de-macáçar, farofa na manteiga e vinagrete (R$ 32,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/2h (dom. e seg. 11h/16h),41,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Levar vinhos (permite),-8.0358758,-34.921705,Visa,Lugares/Capacidade (total 200),Vinho em taça,,4.8,228
Fondue Casa Forte,Restaurantes,Suíço,PE,"Praça de Casa Forte, 661",Casa Forte,Recife,3268-0033,"O prato que dá nome à casa é servido em cinco versões, sempre para duas pessoas. O de queijo com pão italiano, batata ao vinagrete e brócolis (R$ 64,00) concorre com os de carne (R$ 65,00) e frango (R$ 56,00), ambos acompanhados de treze tipos de molho. Também fazem sucesso os de salmão e sirigado (R$ 64,00 cada um). Para encerrar, o de chocolate, único para quatro pessoas, acompanha biscoito waffle, marshmallow e frutas (R$ 66,00). Quem quiser provar de tudo paga R$ 59,90 pela sequência, de domingo a quinta, e R$ 75,00 às sextas e sábados. O vinho sul-africano Cape Elephant Pinotage sai por R$ 79,00. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",19h/2h,57,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0363722,-34.9220101,Visa,Lugares/Capacidade (total 138),Valet/Manobrista,,4.42,74
Yoki Galeto's,Restaurantes,Variados,PE,"Avenida Caxangá, 1752",Cordeiro,Recife,(81) 3228-5714,"Especialidade da casa, o galeto completo especial (R$ 39,90,) vai à mesa com arroz, feijão-macáçar, farofa de ovos, vinagrete, batata e macaxeira fritas. As mesmas guarnições acompanham a maminha na chapa (R$ 66,90). Os pratos dão para três pessoas, assim como o filé à parmigiana servido com espaguete ao molho de tomate (R$ 49,50). Para abrir o apetite, a caipirosca de limão (R$ 5,70) escolta porções de asas de frango à milanesa (R$ 14,00) ou de camarão ao alho e óleo (R$ 28,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",10h/0h (fecha seg.),69,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Delivery,Acesso para deficientes,Acesso wireless,-8.0490127,-34.9254116,,Ar condicionado,Atividades para crianças,Lugares/Capacidade (total 200),2.86,96
ComAqui/Su Na,Restaurantes,Taiwanês,PE,"Rua Carneiro Vilela, 107",Encruzilhada,Recife,3427-2327,"Os taiwaneses Mário Chien e Suna Cheng revezam-se no preparo dos pratos, servidos como porções para compartilhar. Entre fotos e origamis feitos pela filha do casal, a clientela começa pela alga marinha temperada com alho e azeite ou pelo tofu defumado ao molho de soja (R$ 13,00 cada um). O pão recheado com carne suína, camarão e gengibre (R$ 28,00) vai à mesa em porção de oito unidades. Para a sobremesa, tem doce de abacaxi envolto em massa de empada (R$ 6,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/15h (dom. até 16h; fecha seg.),48,,,,,,,,Acesso wireless,Lugares/Capacidade (total 24),,-8.0398994,-34.8934939,,,,,1.58,160
Nossa Casa,Restaurantes,Naturais,PE,"Avenida Oliveira Lima, 784",Boa Vista,Recife,3204-6276,"Da cozinha da chef Hilda Gil, saem receitas como o bifum de legumes e peixe, acompanhado de arroz integral e salada de rúcula, cenoura, rabanete, broto de lentilha e pepino (R$ 27,00). O sanduíche de grão-de-bico com conserva de nirá vai à mesa com arroz integral, conserva de rabanete, folha de mostarda com gergelim e salada de bardana, cenoura e vagem (R$ 18,00). Manjar de arroz integral com calda de ameixa (R$ 5,00) encerra a refeição. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/15h (fecha sáb. e dom.),27,American Express,Hipercard,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,Lugares/Capacidade (total 35),,-8.0573301,-34.8890289,,,,,1.76,212
Verde Gaio,Restaurantes,Portugueses,PE,"Rua Antônio Camillo Dias, 47",Madalena,Recife,3227-2256,"Receitas de Viseu, terra da família dos proprietários, imperam no cardápio. Antecede o prato principal a porção de bolinho de bacalhau (R$ 24,00, quatro unidades). Na sequência, duas pessoas compartilham o peixe salgado, que aparece assado no azeite e alho, com batata corada, cebola, pimentões coloridos, tomate, azeitona preta, ovo cozido e arroz (R$ 129,00). Também para dividir, o camarão à portuguesa, com cebola, tomate, pimenta, ervilha e batata, chega à mesa com arroz e legumes cozidos (R$ 96,00). O pastel de belém (R$ 6,50) fecha a refeição. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/15h (sáb. e dom. 12h/16h),50,,,,,,,,Estacionamento,Levar vinhos (permite),Lugares/Capacidade (total 45),-8.0575437,-34.9075245,,Vinho em taça,,,3.8,14
Sane Comedoria Saudável,Restaurantes,Naturais,PE,"Rua do Espinheiro, 592",Espinheiro,Recife,3314-5288,"A cozinha privilegia ingredientes integrais e pega leve no sal e na gordura. Nas mesas ao ar livre ou no salão climatizado, a clientela começa pela salada que leva o nome da casa, à base de folhas, camarões salteados no azeite, cuscuz marroquino, tomate, hortelã, pepino marinado, abobrinha grelhada, castanha-do-pará e vinagrete de maracujá (R$ 23,90). O medalhão de filé-mignon ao molho de mostarda recebe arroz integral colorido, farofa crocante de soja e vinagrete de feijão-verde como guarnições (R$ 29,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",10h30/23h (sáb. e dom. só almoço até 16h),61,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0436887,-34.8955926,Visa,Estacionamento,Lugares/Capacidade (total 45),Valet/Manobrista,3.39,89
Leme,Restaurantes,Variados,PE,"Avenida Boa Viagem, 3114",Boa Viagem,Recife,3086-5050,"Diante da praia de Boa Viagem, a clientela provoca o apetite com a porção de frango à passarinho (R$ 15,00). Grelhada na chapa, a picanha é servida com arroz, feijão, batata frita, farofa e vinagrete (R$ 79,00, para duas pessoas). Para o filé-mignon ao molho chateaubriand, a guarnição é arroz piemontês (R$ 39,00). A partir das 18h, o rodízio de pizzas (R$ 21,00) inclui coberturas clássicas, como calabresa e cogumelo-de-paris com azeitona. Para finalizar, o pudim de leite com ameixa sai a R$ 10,00. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/15h e 18h/22h,80,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.1067871,-34.8898918,,Levar vinhos (permite),Lugares/Capacidade (total 120),Vinho em taça,4.38,143
Hotspot,Restaurantes,Variados,PE,"Rua Capitão Ribelinho, 478",Pina,Recife,3034-1284,"Entre paredes grafitadas, o chef Armando Pugliesi inaugura o serviço com sashimi de magret de pato ao molho de laranja (R$ 38,00, para três pessoas). Depois vem o espaguete de camarão ao molho de queijo Prima Donna (R$ 61,00), arrematado por churros cobertos de caramelo salgado (R$ 19,90). Um dos sessenta rótulos da carta é o tinto chileno Emiliana Adobe Reserva Pinot Noir (R$ 74,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/15h e 19h/1h (fecha dom. e seg.),20,Dinners,Mastercard,Visa,,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0951614,-34.8863087,,Levar vinhos (permite),Lugares/Capacidade (total 54),Valet/Manobrista,4.63,160
Don Francesco Trattoria,Restaurantes,Italiano,PE,"Rua Prudente de Moraes, 358",Carmo,Olinda,(81) 3429-3852,"Depois de provocar a fome da clientela com o carpaccio coberto com rúcula e lascas de parmesão (R$ 34,65), o italiano Francesco Carreta e sua mulher, a mineira Norma, acenam com a lasanha de cogumelo porcini à bolonhesa (R$ 41,80) e o tagliatelle ao pesto (R$ 41,80). Da adega, saem vinhos como o italiano Le Chiantigiane Chianti (R$ 92,32). O menu de sobremesas lista especialidades como o tiramisu (R$ 16,50). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/15h e 19h/23h (sáb. só jantar até 0h; dom. só almoço até 16h30; fecha seg.),40,Dinners,Mastercard,Visa,,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Levar vinhos (permite),-8.0152517,-34.854248,,Lugares/Capacidade (total 80),,,3.63,99
Rock & Ribs,Restaurantes,Carne Bar Pub,PE,"Avenida Alfredo Lisboa, s/nº - Armazem do Porto",Recife Antigo,Recife,3424-6844,"Na nova unidade, instalada no centro histórico, um dos principais atrativos é o chopp Brahma servido em caneca congelada (R$ 7,90). A bebida é requisitada para escoltar o new york steak (R$ 34,90), filé de chorizo grelhado que dá direito a batata frita e mais um acompanhamento à escolha: pode ser cebola grelhada ou legumes no vapor. Porções de aneis de cebola (R$ 22,90) ou batata frita com bacon e cheddar (R$ 11,90) fazem parceria com o rock x-egg, que leva alface, tomate, ovo, bacon e maionese (R$ 24,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/15h e 17h/2h (seg. e ter. jantar até 22h; qua. e dom. jantar até 23h),33,Dinners,Mastercard,Visa,,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0639754,-34.8737319,,Atividades para crianças,Estacionamento,Lugares/Capacidade (total 350),4,259
